Names,ID's
A.J. Greer,8478421
Aaron Dell,8477180
Aaron Ekblad,8477932
Adam Boqvist,8480871
Adam Cracknell,8471490
Adam Erne,8477454
Adam Fox,8479323
Adam Gaudette,8478874
Adam Henrique,8474641
Adam Huska,8478903
Adam Larsson,8476457
Adam Lowry,8476392
Adam Pelech,8476917
Adin Hill,8478499
Adrian Kempe,8477960
Aidan Dudas,8480850
Akil Thomas,8480851
Alan Quine,8476409
Alec Martinez,8474166
Alec Regula,8480831
Aleksander Barkov,8477493
Aleksi Heponiemi,8480037
Aleksi Saarela,8478839
Alex Barre-Boulet,8479718
Alex Belzile,8475968
Alex Biega,8473415
Alex Chiasson,8475163
Alex DeBrincat,8479337
Alex Galchenyuk,8476851
Alex Goligoski,8471274
Alex Iafallo,8480113
Alex Killorn,8473986
Alex Lyon,8479312
Alex Nedeljkovic,8477968
Alex Nylander,8479423
Alex Ovechkin,8471214
Alex Pietrangelo,8474565
Alex Stalock,8471774
Alex Tuch,8477949
Alex Wennberg,8477505
Alexandar Georgiev,8480382
Alexander Barabanov,8482222
Alexander Chmelevski,8480053
Alexander Edler,8471303
Alexander Kerfoot,8477021
Alexander Petrovic,8475755
Alexander Radulov,8471228
Alexander Romanov,8481014
Alexander Volkov,8480186
Alexander Yelesin,8481630
Alexandre Carrier,8478851
Alexandre Texier,8480074
Alexei Melnichuk,8482246
Alexis Lafrenière,8482109
Anders Bjork,8478075
Anders Lee,8475314
Anders Nilsson,8475195
Andre Burakovsky,8477444
Andreas Athanasiou,8476960
Andreas Borgman,8480158
Andreas Johnsson,8477341
Andrei Altybarmakyan,8480190
Andrei Svechnikov,8480830
Andrei Vasilevskiy,8476883
Andrej Sekera,8471284
Andrew Agozzino,8475461
Andrew Cogliano,8471699
Andrew Copp,8477429
Andrew Hammond,8477202
Andrew Ladd,8471217
Andrew Mangiapane,8478233
Andrew Oglevie,8480906
Andrew Peeke,8479369
Andrew Poturalski,8479249
Andrew Shaw,8476381
Andy Andreoff,8476404
Andy Welinski,8476407
Anthony Angello,8478074
Anthony Beauvillier,8478463
Anthony Bitetto,8475868
Anthony Cirelli,8478519
Anthony Duclair,8477407
Anthony Greco,8479447
Anthony Mantha,8477511
Anthony Richard,8478409
Anthony Stolarz,8476932
Antoine Bibeau,8477312
Antoine Morand,8480030
Antoine Roussel,8474849
Anton Blidh,8477320
Anton Forsberg,8476341
Anton Khudobin,8471418
Anton Lindholm,8478073
Anton Stralman,8471873
Antti Raanta,8477293
Antti Suomela,8480965
Anze Kopitar,8471685
Arnaud Durandeau,8480242
Arsen Khisamutdinov,8481672
Artem Anisimov,8473573
Artem Zub,8482245
Artemi Panarin,8478550
Arttu Ruotsalainen,8481626
Artturi Lehkonen,8477476
Artyom Zagidulin,8481501
Austin Czarnik,8478512
Austin Rueschhoff,8482065
Austin Strand,8480467
Austin Wagner,8478455
Austin Watson,8475766
Auston Matthews,8479318
Barclay Goodrow,8476624
Barrett Hayton,8480849
Ben Bishop,8471750
Ben Chiarot,8475279
Ben Harpur,8477433
Ben Jones,8480259
Ben Thomas,8478049
Benoit-Olivier Groulx,8480870
Blake Coleman,8476399
Blake Comeau,8471260
Blake Lizotte,8481481
Blake Wheeler,8471218
Bo Horvat,8477500
Bobby Ryan,8471676
Bode Wilde,8480826
Bokondji Imama,8478147
Boone Jenner,8476432
Boris Katchouk,8479383
Bowen Byram,8481524
Brad Hunt,8476779
Brad Marchand,8473419
Brad Richardson,8470755
Braden Holtby,8474651
Brady Keeper,8481442
Brady Skjei,8476869
Brady Tkachuk,8480801
Brandon Baddock,8477631
Brandon Biro,8482061
Brandon Carlo,8478443
Brandon Crawley,8479027
Brandon Davidson,8475869
Brandon Dubinsky,8471273
Brandon Fortunato,8481497
Brandon Gignac,8479330
Brandon Montour,8477986
Brandon Pirri,8475204
Brandon Saad,8476438
Brandon Sutter,8474091
Brandon Tanev,8479293
Brayden McNabb,8475188
Brayden Pachal,8481167
Brayden Point,8478010
Brayden Schenn,8475170
Brayden Tracey,8481530
Braydon Coburn,8470601
Brendan Gallagher,8475848
Brendan Guhle,8478425
Brendan Lemieux,8477962
Brendan Smith,8474090
Brenden Dillon,8475455
Brent Burns,8470613
Brent Seabrook,8470607
Brett Connolly,8475792
Brett Howden,8479353
Brett Kulak,8476967
Brett Murray,8479419
Brett Pesce,8477488
Brett Seney,8478881
Brian Dumoulin,8475208
Brian Elliott,8470880
Brinson Pasichnuk,8482369
Brock Boeser,8478444
Brock McGinn,8476934
Brock Nelson,8475754
Brogan Rafferty,8481479
Bryan Little,8473412
Bryan Rust,8475810
Buddy Robinson,8477210
Byron Froese,8475278
C.J. Smith,8480083
Cal Clutterbuck,8473504
Cale Fleury,8479985
Cale Makar,8480069
Caleb Jones,8478452
Callan Foote,8479984
Calle Jarnkrok,8475714
Calle Rosen,8480157
Calvin de Haan,8475177
Calvin Petersen,8477361
Cam Atkinson,8474715
Cam Fowler,8475764
Cam Morrison,8479386
Cam Talbot,8475660
Cameron Hillis,8480858
Cameron Hughes,8478888
Cameron Lee,8482058
Carey Price,8471679
Carl Dahlstrom,8477472
Carl Grundstrom,8479336
Carl Gunnarsson,8474125
Carl Hagelin,8474176
Carl-Johan Lerby,8481625
Carsen Twarynski,8479358
Carson Soucy,8477369
Carter Hart,8479394
Carter Hutton,8475622
Carter Rowney,8477240
Carter Verhaeghe,8477409
Casey Cizikas,8475231
Casey Fitzgerald,8479578
Casey Mittelstadt,8479999
Cayden Primeau,8480051
Cedric Paquette,8476975
Chad Ruhwedel,8477244
Chandler Stephenson,8476905
Charles Hudon,8476948
Charlie Coyle,8475745
Charlie Lindgren,8479292
Charlie McAvoy,8479325
Chase De Leo,8478029
Chase Priskie,8479597
Chris Bigras,8477453
Chris Driedger,8476904
Chris Kreider,8475184
Chris Tierney,8476919
Chris Wagner,8475780
Christian Djoos,8477043
Christian Dvorak,8477989
Christian Fischer,8478432
Christian Jaros,8478868
Christian Wolanin,8478846
Christopher Gibson,8476444
Christopher Tanev,8475690
CJ Suess,8478058
Clark Bishop,8478056
Claude Giroux,8473512
Clayton Keller,8479343
Cliff Pu,8479389
Cody Ceci,8476879
Cody Eakin,8475236
Cody Glass,8479996
Colby Sissons,8479692
Cole Bardreau,8478367
Cole Hults,8480217
